time_days,layer,i,j,pressure_psia,sw,sg
0.000000,2,3,1,4790.210307,0.200000,0.000000
0.000000,2,4,1,4790.210307,0.200000,0.000000
0.000000,2,5,1,4790.210307,0.200000,0.000000
0.000000,2,6,1,4790.210307,0.200000,0.000000
0.000000,2,7,1,4790.210307,0.200000,0.000000
0.000000,2,8,1,4790.210307,0.200000,0.000000
0.000000,2,9,1,4790.210307,0.200000,0.000000
0.000000,2,10,1,4790.210307,0.200000,0.000000
0.000000,2,1,2,4790.210307,0.200000,0.000000
0.000000,2,2,2,4790.210307,0.200000,0.000000
0.000000,2,3,2,4790.210307,0.200000,0.000000
0.000000,2,4,2,4790.210307,0.200000,0.000000
0.000000,2,5,2,4790.210307,0.200000,0.000000
0.000000,2,6,2,4790.210307,0.200000,0.000000
0.000000,2,7,2,4790.210307,0.200000,0.000000
0.000000,2,8,2,4790.210307,0.200000,0.000000
0.000000,2,9,2,4790.210307,0.200000,0.000000
0.000000,2,10,2,4790.210307,0.200000,0.000000
0.000000,2,1,3,4790.210307,0.200000,0.000000
0.000000,2,2,3,4790.210307,0.200000,0.000000
0.000000,2,3,3,4790.210307,0.200000,0.000000
0.000000,2,4,3,4790.210307,0.200000,0.000000
0.000000,2,5,3,4790.210307,0.200000,0.000000
0.000000,2,6,3,4790.210307,0.200000,0.000000
0.000000,2,7,3,4790.210307,0.200000,0.000000
0.000000,2,8,3,4790.210307,0.200000,0.000000
0.000000,2,9,3,4790.210307,0.200000,0.000000
0.000000,2,10,3,4790.210307,0.200000,0.000000
0.000000,2,1,4,4790.210307,0.200000,0.000000
0.000000,2,2,4,4790.210307,0.200000,0.000000
0.000000,2,3,4,4790.210307,0.200000,0.000000
0.000000,2,4,4,4790.210307,0.200000,0.000000
0.000000,2,5,4,4790.210307,0.200000,0.000000
0.000000,2,6,4,4790.210307,0.200000,0.000000
0.000000,2,7,4,4790.210307,0.200000,0.000000
0.000000,2,8,4,4790.210307,0.200000,0.000000
0.000000,2,9,4,4790.210307,0.200000,0.000000
0.000000,2,10,4,4790.210307,0.200000,0.000000
0.000000,2,1,5,4790.210307,0.200000,0.000000
0.000000,2,2,5,4790.210307,0.200000,0.000000
0.000000,2,3,5,4790.210307,0.200000,0.000000
0.000000,2,4,5,4790.210307,0.200000,0.000000
0.000000,2,5,5,4790.210307,0.200000,0.000000
0.000000,2,6,5,4790.210307,0.200000,0.000000
0.000000,2,7,5,4790.210307,0.200000,0.000000
0.000000,2,8,5,4790.210307,0.200000,0.000000
0.000000,2,9,5,4790.210307,0.200000,0.000000
0.000000,2,10,5,4790.210307,0.200000,0.000000
0.000000,2,1,6,4790.210307,0.200000,0.000000
0.000000,2,2,6,4790.210307,0.200000,0.000000
0.000000,2,3,6,4790.210307,0.200000,0.000000
0.000000,2,4,6,4790.210307,0.200000,0.000000
0.000000,2,5,6,4790.210307,0.200000,0.000000
0.000000,2,6,6,4790.210307,0.200000,0.000000
0.000000,2,7,6,4790.210307,0.200000,0.000000
0.000000,2,8,6,4790.210307,0.200000,0.000000
0.000000,2,9,6,4790.210307,0.200000,0.000000
