time_days,well_index,well_id,well_name,i,j,k,qo_stb_d,qw_stb_d,qg_mscf_d,bhp_psia
69.883493,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6046.496528
79.883493,1,1,PROD,10,10,3,26063.185146,0.005165,57030.612004,1000.000000
79.883493,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5997.989848
89.883493,1,1,PROD,10,10,3,25491.016205,0.005100,56451.106269,1000.000000
89.883493,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5948.198365
90.000000,1,1,PROD,10,10,3,25127.268376,0.005103,57330.398570,1000.000000
90.000000,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5942.262901
90.139809,1,1,PROD,10,10,3,25103.763306,0.005102,57375.006051,1000.000000
90.139809,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5941.565677
90.307580,1,1,PROD,10,10,3,25079.518792,0.005101,57418.437053,1000.000000
90.307580,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5940.729236
90.508904,1,1,PROD,10,10,3,25051.641644,0.005100,57470.193715,1000.000000
90.508904,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5939.727517
90.750494,1,1,PROD,10,10,3,25018.049335,0.005098,57527.052079,1000.000000
90.750494,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5938.527361
91.040402,1,1,PROD,10,10,3,24977.744231,0.005095,57595.648042,1000.000000
91.040402,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5937.087979
91.388291,1,1,PROD,10,10,3,24929.901779,0.005093,57673.059941,1000.000000
91.388291,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5935.362598
91.805759,1,1,PROD,10,10,3,24872.600324,0.005089,57760.511001,1000.000000
91.805759,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5933.293493
92.306719,1,1,PROD,10,10,3,24803.428315,0.005085,57855.517842,1000.000000
92.306719,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5930.812261
92.907872,1,1,PROD,10,10,3,24720.992826,0.005079,57959.610784,1000.000000
92.907872,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5927.833843
93.629255,1,1,PROD,10,10,3,24624.433383,0.005072,58068.441591,1000.000000
93.629255,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5924.259887
94.494915,1,1,PROD,10,10,3,24512.499428,0.005064,58176.898930,1000.000000
94.494915,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5919.970982
95.533707,1,1,PROD,10,10,3,24384.391387,0.005054,58277.457468,1000.000000
95.533707,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5914.816805
96.780258,1,1,PROD,10,10,3,24239.363301,0.005042,58359.599127,1000.000000
96.780258,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5908.633883
98.276118,1,1,PROD,10,10,3,24078.157297,0.005027,58408.709596,1000.000000
98.276118,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5901.215216
100.071151,1,1,PROD,10,10,3,23902.533134,0.005010,58408.750579,1000.000000
100.071151,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5892.267700
102.225190,1,1,PROD,10,10,3,23715.484155,0.004990,58341.741250,1000.000000
102.225190,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5881.618568
104.810037,1,1,PROD,10,10,3,23520.653094,0.004967,58191.674711,1000.000000
104.810037,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5868.790118
107.911853,1,1,PROD,10,10,3,23322.043042,0.004942,57946.827378,1000.000000
107.911853,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5853.574070
111.634033,1,1,PROD,10,10,3,23123.167287,0.004915,57603.717041,1000.000000
111.634033,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5835.345895
116.100648,1,1,PROD,10,10,3,22925.011803,0.004885,57162.246488,1000.000000
116.100648,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5813.584494
121.460587,1,1,PROD,10,10,3,22720.433724,0.004852,56635.844705,1000.000000
121.460587,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5787.764876
127.892513,1,1,PROD,10,10,3,22493.776554,0.004815,56050.620113,1000.000000
127.892513,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5757.167257
135.610824,1,1,PROD,10,10,3,22230.718190,0.004774,55440.915486,1000.000000
135.610824,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5721.015223
144.872798,1,1,PROD,10,10,3,21922.064819,0.004726,54798.285396,1000.000000
144.872798,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5678.727602
154.872798,1,1,PROD,10,10,3,21581.949581,0.004676,54139.764570,1000.000000
154.872798,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5634.054170
164.872798,1,1,PROD,10,10,3,21268.461529,0.004629,53464.790535,1000.000000
164.872798,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5590.768839
174.872798,1,1,PROD,10,10,3,20970.568076,0.004585,52874.257199,1000.000000
174.872798,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5549.574609
180.000000,1,1,PROD,10,10,3,20698.850945,0.004562,52903.964945,1000.000000
180.000000,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5526.926999
186.152642,1,1,PROD,10,10,3,20523.603642,0.004538,52656.077760,1000.000000
186.152642,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5503.851017
193.535813,1,1,PROD,10,10,3,20332.761469,0.004511,52388.105251,1000.000000
193.535813,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5477.771153
202.395617,1,1,PROD,10,10,3,20070.631055,0.004478,52209.510332,1000.000000
202.395617,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5448.916206
212.395617,1,1,PROD,10,10,3,19712.390566,0.004439,52165.569291,1000.000000
212.395617,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5419.775637
222.395617,1,1,PROD,10,10,3,19345.943440,0.004399,52114.359261,1000.000000
222.395617,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5394.492469
232.395617,1,1,PROD,10,10,3,19059.418599,0.004364,51758.989532,1000.000000
232.395617,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5374.457832
242.395617,1,1,PROD,10,10,3,18858.591702,0.004335,51300.030246,1000.000000
242.395617,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5360.498665
252.395617,1,1,PROD,10,10,3,18635.964857,0.004308,51069.400166,1000.000000
252.395617,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5353.838844
262.395617,1,1,PROD,10,10,3,18394.566055,0.004282,50966.232788,1000.000000
262.395617,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,5350.732535
270.000000,1,1,PROD,10,10,3,18172.363398,0.004262,50999.292850,1000.000000
270.000000,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,4529.765801
279.125259,1,1,PROD,10,10,3,17943.008311,0.004237,50954.663848,1000.000000
279.125259,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,4358.467510
289.125259,1,1,PROD,10,10,3,17809.708926,0.004215,50563.716878,1000.000000
289.125259,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,4260.052148
299.125259,1,1,PROD,10,10,3,17669.085633,0.004194,50289.593931,1000.000000
299.125259,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,4197.573140
300.000000,1,1,PROD,10,10,3,17573.430840,0.004193,50442.861640,1000.000000
300.000000,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,4157.295574
